Scenario,Framework,Endpoint,Profile,Throughput,Error_Rate,Latency_P99,CPU_Mean,RAM_Mean,TCP_Max,CPU_Temp_Max_C
A (Ideal),FastAPI,CPU,high,100.02079608328513,0.0,3.35897618,28.010000000000005,43.69555555555556,1,42.75
A (Ideal),FastAPI,IO,low,10.032526534939107,0.0,2.2477475299999985,1.661111111111111,42.54888888888889,1,42.625
A (Ideal),Express,CPU,high,100.00331807077205,0.0,24.24007303999999,88.97666666666666,42.95111111111112,3,43.125
A (Ideal),FastAPI,CPU,high,100.02203862468336,0.0,3.1543887099999997,28.070000000000004,41.464444444444446,1,42.25
A (Ideal),FastAPI,IO,low,10.032510011051857,0.0,1.7031093699999964,1.6677777777777776,44.4,1,41.875
A (Ideal),FastAPI,CPU,low,10.03195807928653,0.0,3.384492,3.3144444444444447,41.22888888888888,0,41.75
A (Ideal),Express,IO,low,10.032555778825133,0.0,2.565154139999997,1.5877777777777775,29.40888888888889,2,42.0
A (Ideal),FastAPI,IO,medium,50.03087335698277,0.0,1.9071080799999998,6.286666666666666,44.07777777777778,2,42.375
A (Ideal),FastAPI,IO,high,100.02725265997293,0.0,1.4189252099999998,9.734444444444444,44.88111111111111,1,42.875
A (Ideal),Express,CPU,low,10.030024549263494,0.0,13.245733089999998,9.96888888888889,30.369999999999997,1,42.0
A (Ideal),FastAPI,CPU,high,100.02211580636866,0.0,3.2647842000000002,28.38444444444444,43.593333333333334,1,42.0
A (Ideal),Express,CPU,high,100.00169158142972,0.0,25.14224517,89.87444444444445,42.49777777777778,3,43.0
A (Ideal),Express,IO,low,10.032585304776267,0.0,2.444929759999987,1.5877777777777777,29.432222222222222,1,41.625
A (Ideal),Express,IO,medium,50.031534954812535,0.0,2.0291005099999992,3.79,35.019999999999996,2,42.375
A (Ideal),Express,CPU,medium,50.018053993262654,0.0,15.609054149999997,46.10222222222222,36.972222222222214,1,42.875
A (Ideal),Express,CPU,high,100.00361374938086,0.0,25.51015858,89.9,43.440000000000005,3,43.0
A (Ideal),Express,CPU,low,10.029913377267242,0.0,13.23604159999998,9.958888888888888,30.60888888888889,0,42.25
A (Ideal),Express,IO,medium,49.9993087678895,0.0,2.6934841199999946,3.8711111111111114,34.962222222222216,2,42.0
A (Ideal),Express,CPU,low,10.030210751525994,0.0,12.576077579999994,9.957777777777778,30.63111111111111,0,41.875
A (Ideal),Express,CPU,low,10.030173960265467,0.0,13.196843649999996,10.11111111111111,92.76888888888888,0,42.125
A (Ideal),Express,CPU,low,9.999617621621882,0.0,12.928363040000006,9.94777777777778,30.59777777777778,0,42.0
A (Ideal),Express,IO,low,10.0327848419893,0.0,2.9673175799999987,1.5911111111111111,29.40555555555555,1,41.875
A (Ideal),Express,CPU,medium,50.01730813292697,0.0,15.006583799999996,44.794444444444444,37.64555555555556,1,42.25
A (Ideal),Express,CPU,low,10.030089641460634,0.0,12.595997079999995,9.964444444444444,30.716666666666665,0,41.75
A (Ideal),FastAPI,IO,high,99.9960010099256,0.0,1.5118461799999956,9.622222222222222,46.48444444444445,2,42.125
A (Ideal),FastAPI,CPU,low,10.031982058789955,0.0,4.1140548099999865,3.2711111111111113,41.144444444444446,1,42.375
A (Ideal),Express,IO,low,10.032530129305599,0.0,2.370861659999999,1.6033333333333333,29.47222222222222,1,42.25
A (Ideal),Express,CPU,high,100.0063446111125,0.0,24.48115758,89.19333333333333,43.42333333333333,2,42.625
A (Ideal),Express,IO,medium,50.031442906937095,0.0,2.1079329099999997,3.9055555555555554,35.458888888888886,1,42.875
A (Ideal),Express,IO,high,100.0287233929156,0.0,2.297288019999998,5.682222222222222,36.92555555555556,2,42.375
A (Ideal),FastAPI,CPU,low,10.032123198440399,0.0,3.212533,3.2655555555555553,41.14666666666667,1,42.125
A (Ideal),Express,IO,high,100.02859456869137,0.0,2.2157378,6.003333333333334,36.40222222222222,1,42.375
A (Ideal),Express,IO,high,100.02724638531177,0.0,2.429994839999997,6.085555555555555,36.72444444444445,2,42.75
A (Ideal),Express,CPU,low,10.029879266246017,0.0,13.133117139999978,9.993333333333332,30.558888888888887,0,42.625
A (Ideal),Express,IO,medium,50.03039848678626,0.0,2.3229887099999984,3.5644444444444443,35.06444444444444,1,42.625
